,Description
389,August 2019 . Chinese state -sponsored hackers were revealed to have targeted multiple U.S. cancer institutes to take info rmation relating to cutting edge cancer research. 
390,"August 2019 . North Korean hackers conducted a phishing campaign against foreign affairs officials in at least three countries, with a focus on those studying North Korean nuclear efforts and related international sanctions. "
391,August 2019 . Huawei technicians helped government officials in two African countries track political rivals and access encrypted communications. 
392,"August 2019 . The Czech Republic announced that the country’s Foreign Mini stry had been the victim of a cyberattack by an unspecified foreign state, later identified as Russia "
393,"August 2019. A suspected Indian cyber espionage group conducted a phishing campaign targeting Chinese government agencies and state -owned enterprises fo r information related to economic trade, defense issues, and foreign relations. "
394,August 2019 . Networks at several Bahraini government agencies and critical infrastructure providers were infiltrated by hackers linked to Iran 
395,"August 2019. A previously unidentified Chinese espionage group was found to have worked since 2012 to gather data from foreign firms in industries identified as strategic priorities by the Chinese   government, including telecommunications, healthcare, semiconductor manu facturing, and machine learning. The group was also active in the theft of virtual currencies and the monitoring of dissidents in Hong Kong. "
396,"August 2019. Russian hackers were observed using vulnerable IoT devices like a printer, VOIP phone, and video de coder to break into high -value corporate networks "
397,August 2019. A seven -year campaign by an unidentified Spanish -language espionage group was revealed to have resulted in the theft of sensitive mapping files from senior officials in the Venezuelan Army 
398,July 2019 . State -sponsored Chinese hackers conducted a spear -phishing campaign against employees of three major U.S. utility companies 
399,"July 2019. Capital One reveals that a hacker accessed data on 100 million credit card applications, including Socia l Security and bank account numbers. "
400,July 2019. Encrypted email service provider ProtonMail was hacked by a state -sponsored group looking to gain access to accounts held by reporters and former intelligence officials conducting investigations of Russi an intelligence activities. 
401,"July 2019 . Several major German industrial firms including BASF, Siemens, and Henkel announced that they had been the victim of a state -sponsored hacking campaign reported to be linked to the Chinese government "
402,"July 2019. A Chinese hacking group was discovered to have targeted government agencies across East Asia involved in information technology, foreign affairs, and economic development. "
403,July 2019. The U.S. Coast Guard issued a warning after it received a report that a merchant vessel had its networks disrupted by malware while traveling through international waters 
404,"July 2019. An Iranian hacking group targeted LinkedIn users associated with financial, energy, and government entities operating in the Middle East "
405,"July 2019. Microsoft revealed that it had detected almost 800 cyberattacks over the past year targeting think tanks, NGOs, and other political organizations around the world, with the majority of attacks originating in Iran, North Korean, and Russia. "
