,Description
375,"August 2019. A previously unidentified Chinese espionage group was found to have worked since 2012 to gather data from foreign firms in industries identified as strategic priorities by the Chinese   government, including telecommunications, healthcare, semiconductor manu facturing, and machine learning. The group was also active in the theft of virtual currencies and the monitoring of dissidents in Hong Kong. "
376,"August 2019. Russian hackers were observed using vulnerable IoT devices like a printer, VOIP phone, and video de coder to break into high -value corporate networks "
377,August 2019. A seven -year campaign by an unidentified Spanish -language espionage group was revealed to have resulted in the theft of sensitive mapping files from senior officials in the Venezuelan Army 
378,July 2019 . State -sponsored Chinese hackers conducted a spear -phishing campaign against employees of three major U.S. utility companies 
379,"July 2019. Capital One reveals that a hacker accessed data on 100 million credit card applications, including Socia l Security and bank account numbers. "
380,July 2019. Encrypted email service provider ProtonMail was hacked by a state -sponsored group looking to gain access to accounts held by reporters and former intelligence officials conducting investigations of Russi an intelligence activities. 
381,"July 2019 . Several major German industrial firms including BASF, Siemens, and Henkel announced that they had been the victim of a state -sponsored hacking campaign reported to be linked to the Chinese government "
382,"July 2019. A Chinese hacking group was discovered to have targeted government agencies across East Asia involved in information technology, foreign affairs, and economic development. "
383,July 2019. The U.S. Coast Guard issued a warning after it received a report that a merchant vessel had its networks disrupted by malware while traveling through international waters 
384,"July 2019. An Iranian hacking group targeted LinkedIn users associated with financial, energy, and government entities operating in the Middle East "
385,"July 2019. Microsoft revealed that it had detected almost 800 cyberattacks over the past year targeting think tanks, NGOs, and other political organizations around the world, with the majority of attacks originating in Iran, North Korean, and Russia. "
386,July 2019. Libya arrested two men who were accused of working with a Russian troll farm to influence the elections in several African countries. 
387,July 2019. Croatian government agencies were targeted in a series of attacks by unidentified state sponsored hackers 
388,July 2019. U.S. Cybercommand issued an alert warning that government networks were being targeted with malware associated with a known Iran -linked hacking group 
389,June 2019. Western intelligence services were alleged to have hacked into Russian internet search   company Yandex in late 2018 to spy on user accounts 
390,"June 2019. Over the course of seven years, a Chinese espionage group hacked into ten international cellphone pro viders operating across thirty countries to track dissidents, officials, and suspected spies. "
391,June 2019. The U.S. announced it had launched offensive cyber operations against Iranian computer systems used to control missile and rocket launches. June 2019. Iran announced that it had exposed and helped dismantle an alleged CIA -backed cyber espionage network across multiple countries 
